"平成23年(2011)_農産物名","平成23年(2011)_産出額(億円)","平成23年(2011)_構成比(％)","","平成24年(2012)_農産物名","平成24年(2012)_産出額(億円)","平成24年(2012)_構成比(％)","","平成25年(2013)_農産物名","平成25年(2013)_産出額(億円)","平成25年(2013)_構成比(％)"
"農業産出額","1013.0","100.0","","農業産出額","1022.0","100.0","","農業産出額","993.0","100.0"
"","","","","","","","","","",""
"みかん","244.0","24.1","","みかん","239.0","23.4","","みかん","248.0","25.0"
"うめ","127.0","12.5","","うめ","159.0","15.6","","うめ","134.0","13.5"
"かき","88.0","8.7","","米","92.0","9.0","","米","89.0","9.0"
"米","85.0","8.4","","かき","83.0","8.1","","かき","89.0","9.0"
"もも","48.0","4.7","","もも","42.0","4.1","","もも","45.0","4.5"
"はっさく","32.0","3.2","","トマト","32.0","3.1","","トマト","32.0","3.2"
"トマト","30.0","3.0","","さやえんどう","26.0","2.5","","さやえんどう","27.0","2.7"
"さやえんどう","28.0","2.8","","はっさく","24.0","2.3","","はっさく","22.0","2.2"
"ブロイラー","21.0","2.1","","ブロイラー","20.0","2.0","","スターチス","18.0","1.8"
"鶏卵","17.0","1.7","","スターチス","18.0","1.8","","鶏卵","17.0","1.7"
"","","","","","","","","","",""
"スターチス","15.0","1.5","","鶏卵","16.0","1.6","","ブロイラー","13.0","1.3"
"しょうが","12.0","1.2","","しょうが","11.0","1.1","","キウイフルーツ","11.0","1.1"
"清見","11.0","1.1","","キウイフルーツ","10.0","1.0","","いちご","11.0","1.1"
"いちご","11.0","1.1","","いちご","10.0","1.0","","しょうが","11.0","1.1"
"すもも","11.0","1.1","","清見","9.0","0.9","","すもも","10.0","1.0"
"キウイフルーツ","10.0","1.0","","すもも","8.0","0.8","","清見","8.0","0.8"
"きゅうり","8.0","0.8","","きゅうり","8.0","0.8","","肉用牛","7.0","0.7"
"キャベツ","7.0","0.7","","キャベツ","7.0","0.7","","きゅうり","7.0","0.7"
"きく","6.0","0.6","","きく","6.0","0.6","","キャベツ","7.0","0.7"
"いちじく","6.0","0.6","","いちじく","6.0","0.6","","はくさい","6.0","0.6"
"","","","","","","","","","",""
"肉用牛","6.0","0.6","","カスミソウ","6.0","0.6","","きく","6.0","0.6"
"だいこん","6.0","0.6","","だいこん","6.0","0.6","","だいこん","6.0","0.6"
"生乳","6.0","0.6","","生乳","6.0","0.6","","いちじく","6.0","0.6"
"カスミソウ","5.0","0.5","","ほうれんそう","5.0","0.5","","生乳","6.0","0.6"
"ほうれんそう","5.0","0.5","","肉用牛","5.0","0.5","","ほうれんそう","5.0","0.5"
"はくさい","5.0","0.5","","はくさい","5.0","0.5","","すいか","4.0","0.4"
"なす","5.0","0.5","","なす","4.0","0.4","","なす","4.0","0.4"
"ばら","5.0","0.5","","ばら","4.0","0.4","","ぶどう","4.0","0.4"
"ブロッコリー","5.0","0.5","","たまねぎ","4.0","0.4","","たまねぎ","4.0","0.4"
"ねぎ","4.0","0.4","","すいか","4.0","0.4","","ねぎ","4.0","0.4"
"","","","","","","","","","",""
"その他農産物","144.0","13.9","","その他農産物","147.0","14.1","","その他農産物","132.0","13.4"
